name,type,category,power,accuracy,pp,effect
G-Max Wildfire,Fire,,,,,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.
G-Max Wind Rage,Flying,,,,,Corviknight-exclusive G-Max Move. Removes battlefield hazards.
Grassy Glide,Grass,,,,,High priority during Grassy Terrain.
Grav Apple,Grass,Physical,80,100,10,Lowers the opponent's Defense stat.
Jaw Lock,Dark,Physical,80,100,10,Prevents user and opponent from switching out.
Jungle Healing,Grass,Status,,,,Restores team's HP and cures status conditions.
Lash Out,Dark,Physical,75,100,5,Double power if stats were lowered during the turn.
Life Dew,Water,Status,,,10,User and teammates recover HP.
Magic Powder,Psychic,Status,,100,20,Changes target's type to Psychic.
Max Airstream,Flying,,,,,Flying type Dynamax move. Raises the team's Speed.
Max Darkness,Dark,,,,,Dark type Dynamax move. Lowers the target's Special Defense.
Max Flare,Fire,,,,,Fire type Dynamax move. Summons harsh sunlight.
Max Flutterby,Bug,,,,,Bug type Dynamax move. Lowers the target's Special Attack.
Max Geyser,Water,,,,,Water type Dynamax move. Summons heavy rain.
Max Guard,Normal,,,,,Status category Dynamax move. Protects the user.
Max Hailstorm,Ice,,,,,Ice type Dynamax move. Summons hail.
Max Knuckle,Fighting,,,,,Fighting type Dynamax move. Increases the team's Attack.
Max Lightning,Electric,,,,,Electric type Dynamax move. Summons Electric Terrain.
Max Mindstorm,Psychic,,,,,Psychic type Dynamax move. Summons Psychic Terrain.
Max Ooze,Poison,,,,,Poison type Dynamax move. Increases the team's Special Attack.
Max Overgrowth,Grass,,,,,Grass type Dynamax move. Summons Grassy Terrain.
Max Phantasm,Ghost,,,,,Ghost type Dynamax move. Lowers the target's Defense.
Max Quake,Ground,,,,,Ground type Dynamax move. Increases the team's Special Defense.
Max Rockfall,Rock,,,,,Rock type Dynamax move. Summons a sandstorm.
Max Starfall,Fairy,,,,,Fairy type Dynamax move. Summons Misty Terrain.
Max Steelspike,Steel,,,,,Steel type Dynamax move. Raises the team's Defense.
Max Strike,Normal,,,,,Normal type Dynamax move. Lowers the target's Speed.
Max Wyrmwind,Dragon,,,,,Dragon type Dynamax move. Lowers the target's Attack.
Meteor Assault,Fighting,Physical,150,100,5,User must recharge next turn.
Meteor Beam,Rock,Special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
Misty Explosion,Fairy,Special,100,100,5,Power increases on Misty Terrain.
No Retreat,Fighting,Status,,,5,Raises all stats but user cannot switch out.
Obstruct,Dark,Status,,100,10,Protects the user and sharply lowers Defence on contact.
Octolock,Fighting,Status,,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out."
Overdrive,Electric,Special,80,100,10,
Poltergeist,Ghost,Physical,110,90,5,Fails if the target doesn’t have an item.
Pyro Ball,Fire,Physical,120,90,5,May burn opponent.
Rising Voltage,Electric,Special,70,100,20,Power doubles on Electric Terrain.
Scale Shot,Dragon,Physical,25,90,20,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.
Scorching Sands,Ground,Special,70,100,10,May burn the target.
Shell Side Arm,Poison,Special,,,,"May poison opponent. Inflicts either Special or Physical damage, whichever is better."
Skitter Smack,Bug,Physical,70,90,10,Lowers opponent's Sp. Attack.
Snap Trap,Grass,Physical,35,100,15,"Traps opponent, damaging them for 4-5 turns."
Snipe Shot,Water,Special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.
Spirit Break,Fairy,Physical,75,100,15,Lowers opponent's Special Attack.
Steel Beam,Steel,Special,140,95,5,User loses 50% of its HP.
Steel Roller,Steel,Physical,130,100,5,Fails if no Terrain in effect.
Strange Steam,Fairy,Special,90,95,10,May confuse opponent.
Stuff Cheeks,Normal,Status,,,10,"The user eats its held Berry, then sharply raises its Defense stat."
Surging Strikes,Water,,,,,Always results in a critical hit and ignores stat changes.
Tar Shot,Rock,Status,,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.
Teatime,Normal,Status,,,10,Forces all Pokémon on the field to eat their berries.
Terrain Pulse,Normal,Special,50,100,10,Type and power change depending on the Terrain in effect.
Thunder Cage,Electric,,,,,"Deals damage and traps opponent, damaging them for 4-5 turns."
Thunderous Kick,Fighting,Physical,,,,Lowers opponent's Defense.
Triple Axel,Ice,Physical,20,90,10,Attacks thrice with more power each time.
Wicked Blow,Dark,,,,,Always results in a critical hit and ignores stat changes.
